fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"177",4960,0.591999684392496,6.71590909090909,British Columbia mainland coastal forests,"232",,,BC_mainland_coastal_forest,5,North America
"178",5039,27.7259964421438,3.15116279069767,British Columbia mainland coastal forests,"3056",,,BC_mainland_coastal_forest,5,North America
"179",5040,0.148544254927824,4.59302325581395,British Columbia mainland coastal forests,"5594",,,BC_mainland_coastal_forest,5,North America
"180",5041,0.0791935663623435,6.54651162790698,British Columbia mainland coastal forests,"4050",,,BC_mainland_coastal_forest,5,North America
"181",5122,13.1752493435359,2.53488372093023,British Columbia mainland coastal forests,"767",,,BC_mainland_coastal_forest,5,North America
"182",5123,2.85923418953071,1.23255813953488,British Columbia mainland coastal forests,"3535",,,BC_mainland_coastal_forest,5,North America
"183",5124,0.136291087344028,5.2093023255814,British Columbia mainland coastal forests,"3007",,,BC_mainland_coastal_forest,5,North America
"184",5204,4.69071492176558,2.89772727272727,British Columbia mainland coastal forests,"331",,,BC_mainland_coastal_forest,5,North America
"185",5205,0.425189118522668,2.07954545454545,British Columbia mainland coastal forests,"5417",,,BC_mainland_coastal_forest,5,North America
"186",5206,0.4446135608031,3.28409090909091,British Columbia mainland coastal forests,"1434",,,BC_mainland_coastal_forest,5,North America
"187",5287,11.9284452002901,1.97674418604651,British Columbia mainland coastal forests,"170",,,BC_mainland_coastal_forest,5,North America
"188",5288,1.41074136904056,3.22093023255814,British Columbia mainland coastal forests,"5340",,,BC_mainland_coastal_forest,5,North America
"189",5289,0.58688779384289,2.87209302325581,British Columbia mainland coastal forests,"1458",,,BC_mainland_coastal_forest,5,North America
"190",5369,2.98519635960219,1.58139534883721,British Columbia mainland coastal forests,"802",,,BC_mainland_coastal_forest,5,North America
"191",5370,1.2358074284516,4.18604651162791,British Columbia mainland coastal forests,"6746",,,BC_mainland_coastal_forest,5,North America
"192",5371,0.147569992412683,3.13953488372093,British Columbia mainland coastal forests,"488",,,BC_mainland_coastal_forest,5,North America
"193",5452,4.76851407749505,0.988636363636364,British Columbia mainland coastal forests,"1460",,,BC_mainland_coastal_forest,5,North America
"194",5453,0.758257000043299,4.25,British Columbia mainland coastal forests,"5260",,,BC_mainland_coastal_forest,5,North America
"195",5454,0.302347304202925,4.10227272727273,British Columbia mainland coastal forests,"2676",,,BC_mainland_coastal_forest,5,North America
"196",5455,0.118483238067615,4.97727272727273,British Columbia mainland coastal forests,"49",,,BC_mainland_coastal_forest,5,North America
"197",5534,8.54873309667189,0.94047619047619,British Columbia mainland coastal forests,"1867",,,BC_mainland_coastal_forest,5,North America
"198",5535,1.38930750206895,2.23809523809524,British Columbia mainland coastal forests,"6546",,,BC_mainland_coastal_forest,5,North America
"199",5536,0.917635605934238,2.27380952380952,British Columbia mainland coastal forests,"5791",,,BC_mainland_coastal_forest,5,North America
"200",5537,4.42492122163606,0.857142857142857,British Columbia mainland coastal forests,"560",,,BC_mainland_coastal_forest,5,North America
"201",5618,25.9570192847114,0.738636363636364,British Columbia mainland coastal forests,"297",,,BC_mainland_coastal_forest,5,North America
"202",5528,2.35620164941444,5.10714285714286,Canadian Aspen forests and parklands,"4281",,,Canadian_Aspen_Parkland,5,North America
"203",5856,0.970420343984598,3.48863636363636,Canadian Aspen forests and parklands,"5516",,,Canadian_Aspen_Parkland,5,North America
"204",5939,2.96959670689355,4.18604651162791,Canadian Aspen forests and parklands,"6016",,,Canadian_Aspen_Parkland,5,North America
"205",6021,0.453725287575166,4.74418604651163,Canadian Aspen forests and parklands,"2523",,,Canadian_Aspen_Parkland,5,North America
"206",6022,0.231276254463026,8.22093023255814,Canadian Aspen forests and parklands,"5",,,Canadian_Aspen_Parkland,5,North America
"207",6106,0.31130207760389,4.56818181818182,Canadian Aspen forests and parklands,"142",,,Canadian_Aspen_Parkland,5,North America
"208",6188,0.0424572196213934,3.2093023255814,Canadian Aspen forests and parklands,"5611",,,Canadian_Aspen_Parkland,5,North America
"209",5122,13.1752493435359,2.53488372093023,Cascade Mountains leeward forests,"1613",,,Cascade_Mountains_leeward_forest,5,North America
"210",5123,2.85923418953071,1.23255813953488,Cascade Mountains leeward forests,"712",,,Cascade_Mountains_leeward_forest,5,North America
"211",5204,4.69071492176558,2.89772727272727,Cascade Mountains leeward forests,"2199",,,Cascade_Mountains_leeward_forest,5,North America
"212",5205,0.425189118522668,2.07954545454545,Cascade Mountains leeward forests,"390",,,Cascade_Mountains_leeward_forest,5,North America
"213",5287,11.9284452002901,1.97674418604651,Cascade Mountains leeward forests,"3280",,,Cascade_Mountains_leeward_forest,5,North America
"214",5288,1.41074136904056,3.22093023255814,Cascade Mountains leeward forests,"80",,,Cascade_Mountains_leeward_forest,5,North America
"215",5369,2.98519635960219,1.58139534883721,Cascade Mountains leeward forests,"4828",,,Cascade_Mountains_leeward_forest,5,North America
"216",5451,9.2464612317066,1.57954545454545,Cascade Mountains leeward forests,"1301",,,Cascade_Mountains_leeward_forest,5,North America
"217",5452,4.76851407749505,0.988636363636364,Cascade Mountains leeward forests,"5375",,,Cascade_Mountains_leeward_forest,5,North America
"218",5533,38.6341807158144,2.60714285714286,Cascade Mountains leeward forests,"2421",,,Cascade_Mountains_leeward_forest,5,North America
"219",5534,8.54873309667189,0.94047619047619,Cascade Mountains leeward forests,"4000",,,Cascade_Mountains_leeward_forest,5,North America
"220",5535,1.38930750206895,2.23809523809524,Cascade Mountains leeward forests,"298",,,Cascade_Mountains_leeward_forest,5,North America
