fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"170",28270,,0.697674418604651,Changjiang Plain evergreen forests,"1131",,1.11646777938198,Changjiang_Plain_evergreen_forest,4,Asia
"171",28346,,2.25581395348837,Changjiang Plain evergreen forests,"941",,47.645126885973,Changjiang_Plain_evergreen_forest,4,Asia
"172",28347,,2.91860465116279,Changjiang Plain evergreen forests,"8672",,23.4763485104944,Changjiang_Plain_evergreen_forest,4,Asia
"173",28348,,1.74418604651163,Changjiang Plain evergreen forests,"8763",,1.39983953075463,Changjiang_Plain_evergreen_forest,4,Asia
"174",28349,,0.674418604651163,Changjiang Plain evergreen forests,"9170",,5.02702965248657,Changjiang_Plain_evergreen_forest,4,Asia
"175",28350,,0.453488372093023,Changjiang Plain evergreen forests,"9263",,0.274438714278224,Changjiang_Plain_evergreen_forest,4,Asia
"176",28351,,0.593023255813954,Changjiang Plain evergreen forests,"2808",,0.568298353589372,Changjiang_Plain_evergreen_forest,4,Asia
"177",28429,,2.125,Changjiang Plain evergreen forests,"5515",,14.6240842549323,Changjiang_Plain_evergreen_forest,4,Asia
"178",28430,,1.90909090909091,Changjiang Plain evergreen forests,"8670",,18.2964226598253,Changjiang_Plain_evergreen_forest,4,Asia
"179",28431,,2.17045454545455,Changjiang Plain evergreen forests,"8905",,1.64165397189428,Changjiang_Plain_evergreen_forest,4,Asia
"180",28432,,1.45454545454545,Changjiang Plain evergreen forests,"8490",,0.410542242216627,Changjiang_Plain_evergreen_forest,4,Asia
"181",28433,,0.318181818181818,Changjiang Plain evergreen forests,"1947",,0.182828030626738,Changjiang_Plain_evergreen_forest,4,Asia
"182",28511,,0.232558139534884,Changjiang Plain evergreen forests,"935",,1.16109398701187,Changjiang_Plain_evergreen_forest,4,Asia
"183",28512,,2.05813953488372,Changjiang Plain evergreen forests,"6612",,3.18453221302191,Changjiang_Plain_evergreen_forest,4,Asia
"184",28513,,2.97674418604651,Changjiang Plain evergreen forests,"8216",,1.24618456491127,Changjiang_Plain_evergreen_forest,4,Asia
"185",28514,,0.790697674418605,Changjiang Plain evergreen forests,"3359",,0.672424780006965,Changjiang_Plain_evergreen_forest,4,Asia
"186",28594,,0,Changjiang Plain evergreen forests,"29",,0,Changjiang_Plain_evergreen_forest,4,Asia
"187",28595,,1.2093023255814,Changjiang Plain evergreen forests,"1564",,0.314330568877309,Changjiang_Plain_evergreen_forest,4,Asia
"188",28596,,0.534883720930233,Changjiang Plain evergreen forests,"392",,0.0245694098708101,Changjiang_Plain_evergreen_forest,4,Asia
