stat,pool,time,period,0
std,delta_C,Russia,1996-2000,127629845598319.05
std,delta_C,Russia,2001-2010,117142863535007.27
std,delta_C,Russia,2011-2019,148938187601638.88
std,delta_C,Russia,1996-2019,125797886828984.92
std,delta_C,South America,1996-2000,263172846796831.22
std,delta_C,South America,2001-2010,149346518384459.4
std,delta_C,South America,2011-2019,190737459268472.53
std,delta_C,South America,1996-2019,161867240910411.97
std,delta_C,South Asia,1996-2000,29694685730861.83
std,delta_C,South Asia,2001-2010,31208933201221.11
std,delta_C,South Asia,2011-2019,50301763028310.33
std,delta_C,South Asia,1996-2019,34505904855997.77
std,delta_C,Southeast Asia,1996-2000,80176111554799.38
std,delta_C,Southeast Asia,2001-2010,60188443807423.82
std,delta_C,Southeast Asia,2011-2019,59626546971132.734
std,delta_C,Southeast Asia,1996-2019,50226615020726.41
std,delta_C,Global,1996-2000,820743773120509.9
std,delta_C,Global,2001-2010,426858784597312.0
std,delta_C,Global,2011-2019,563348598940174.4
std,delta_C,Global,1996-2019,498812077793933.2
