stat,pool,time,period,0
std,delta_B,South Asia,1996-2000,34327796033193.598
std,delta_B,South Asia,2001-2010,22371758093499.918
std,delta_B,South Asia,2011-2019,35338063426552.625
std,delta_B,South Asia,1996-2019,17710076992472.797
std,delta_B,Southeast Asia,1996-2000,102807726611565.7
std,delta_B,Southeast Asia,2001-2010,177777257929677.47
std,delta_B,Southeast Asia,2011-2019,75699703330159.22
std,delta_B,Southeast Asia,1996-2019,82167650346986.12
std,delta_B,Global,1996-2000,476231013047559.0
std,delta_B,Global,2001-2010,291511577251689.4
std,delta_B,Global,2011-2019,371314510650139.44
std,delta_B,Global,1996-2019,210266243338210.9
std,delta_OC,Africa,1996-2000,627081169740307.4
std,delta_OC,Africa,2001-2010,332610589212052.3
std,delta_OC,Africa,2011-2019,285384783315114.8
std,delta_OC,Africa,1996-2019,218465102889755.38
std,delta_OC,Australia,1996-2000,228715694692470.12
std,delta_OC,Australia,2001-2010,101365389040517.58
std,delta_OC,Australia,2011-2019,243981248103181.84
std,delta_OC,Australia,1996-2019,111468580043051.17
std,delta_OC,East Asia,1996-2000,132915363292936.16
std,delta_OC,East Asia,2001-2010,282990435480175.4
std,delta_OC,East Asia,2011-2019,280241011697425.12
std,delta_OC,East Asia,1996-2019,160356363113022.0
std,delta_OC,Europe,1996-2000,133752003564734.94
std,delta_OC,Europe,2001-2010,270798514548636.12
std,delta_OC,Europe,2011-2019,183369915607168.34
std,delta_OC,Europe,1996-2019,135041210990865.05
std,delta_OC,North America,1996-2000,267015332555613.72
std,delta_OC,North America,2001-2010,335180085714186.06
std,delta_OC,North America,2011-2019,386930690253772.25
std,delta_OC,North America,1996-2019,208932234018595.4
std,delta_OC,Russia,1996-2000,191663543453540.9
std,delta_OC,Russia,2001-2010,289474770032977.0
std,delta_OC,Russia,2011-2019,270457126396159.8
std,delta_OC,Russia,1996-2019,162568621891700.53
std,delta_OC,South America,1996-2000,567760150705158.9
std,delta_OC,South America,2001-2010,471628030615010.5
std,delta_OC,South America,2011-2019,285163408208171.1
std,delta_OC,South America,1996-2019,253067505007484.7
std,delta_OC,South Asia,1996-2000,294430183248703.0
std,delta_OC,South Asia,2001-2010,169892792565012.44
std,delta_OC,South Asia,2011-2019,167786490429887.53
std,delta_OC,South Asia,1996-2019,112838389479153.73
std,delta_OC,Southeast Asia,1996-2000,655962703020571.5
std,delta_OC,Southeast Asia,2001-2010,323256131073409.6
std,delta_OC,Southeast Asia,2011-2019,226784741632335.75
std,delta_OC,Southeast Asia,1996-2019,209879951481541.94
std,delta_OC,Global,1996-2000,668312721001722.9
std,delta_OC,Global,2001-2010,594449149537719.2
std,delta_OC,Global,2011-2019,692513900884257.4
std,delta_OC,Global,1996-2019,570709901534712.5
std,delta_C,Africa,1996-2000,541527499195084.4
std,delta_C,Africa,2001-2010,243537760839471.22
std,delta_C,Africa,2011-2019,202938167928674.28
std,delta_C,Africa,1996-2019,169754013234266.66
std,delta_C,Australia,1996-2000,167195917076187.7
std,delta_C,Australia,2001-2010,89716895697161.45
std,delta_C,Australia,2011-2019,100658479776662.84
std,delta_C,Australia,1996-2019,63525974813157.64
std,delta_C,East Asia,1996-2000,102997627800705.5
std,delta_C,East Asia,2001-2010,258846724579480.94
std,delta_C,East Asia,2011-2019,266495127857468.3
std,delta_C,East Asia,1996-2019,148592747018931.44
std,delta_C,Europe,1996-2000,119265295102985.0
std,delta_C,Europe,2001-2010,258890923911711.84
std,delta_C,Europe,2011-2019,168181859928094.25
std,delta_C,Europe,1996-2019,127401599368727.08
std,delta_C,North America,1996-2000,247256503948237.47
std,delta_C,North America,2001-2010,329506717856217.56
std,delta_C,North America,2011-2019,260649268218782.5
std,delta_C,North America,1996-2019,176230020058999.1
std,delta_C,Russia,1996-2000,170223396836814.8
std,delta_C,Russia,2001-2010,270768112906701.28
std,delta_C,Russia,2011-2019,195825311803155.75
std,delta_C,Russia,1996-2019,139207136017244.9
std,delta_C,South America,1996-2000,528204064407102.8
std,delta_C,South America,2001-2010,416582977159082.4
std,delta_C,South America,2011-2019,228627037593686.53
std,delta_C,South America,1996-2019,222684934595200.12
std,delta_C,South Asia,1996-2000,292422186619566.0
std,delta_C,South Asia,2001-2010,168413376562980.5
std,delta_C,South Asia,2011-2019,164022948528672.9
std,delta_C,South Asia,1996-2019,111439917952095.95
std,delta_C,Southeast Asia,1996-2000,647856187053126.9
std,delta_C,Southeast Asia,2001-2010,269981060149697.0
std,delta_C,Southeast Asia,2011-2019,213777627344329.84
std,delta_C,Southeast Asia,1996-2019,193127085801939.8
std,delta_C,Global,1996-2000,468877292331823.56
std,delta_C,Global,2001-2010,518064466755200.3
std,delta_C,Global,2011-2019,584551996916081.5
std,delta_C,Global,1996-2019,530563755473550.5
